# EPIC structured flight events for epic_2026-07-02-19-31-32.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782988291.234
# box | down=[-150, -150, 0.5] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.61
# frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
# fsm | takeoff_h=1.10 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782988327.242][    +23.7s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.29m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.286][    +23.8s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.28m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.330][    +23.8s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.27m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.374][    +23.9s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.25m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.450][    +23.9s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x4/0.2s)
[1782988327.451][    +24.0s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.23m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.495][    +24.0s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.22m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988327.529][    +24.0s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success] |  (prev cycle x1/0.1s)
[1782988328.119][    +24.6s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.2m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.2m goal=(-0.0, -0.0, 1.1) t=23ms (prev x1/0.7s)
[1782988328.119][    +24.6s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1782988328.120][    +24.6s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.15m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988328.120][    +24.6s][LAND] STATE PLAN_TRAJ_RTH -> LAND [RTH: home reached -> AUTO.LAND]
[1782988328.903][    +25.4s][LAND] PX4 mode=AUTO.LAND armed=1 (LEFT OFFBOARD: pilot takeover or failsafe) | prev=OFFBOARD
[1782988330.934][    +27.4s][LAND] BATT 23.0V | v=23.39V pct=46%
[1782988332.902][    +29.4s][LAND] PX4 mode=OFFBOARD armed=0 | prev=AUTO.LAND
[1782988332.910][    +29.4s][LANDED] STATE LAND -> LANDED [LAND: touchdown & disarmed]
[1782988332.920][    +29.4s][LANDED] MISSION LANDED (mission complete, disarmed)
